Method, NumWorkflows, TimeMs
Compare Features, 180, 8.0
Compare Features, 250, 8.0
Compare Features, 300, 8.0
Compare Features, 350, 7.0
Compare Features, 400, 8.0
Models with Features, 1, 9.0
Models with Features, 5, 12.0
Models with Features, 10, 14.0
Models with Features, 20, 29.0
Models with Features, 40, 32.0
Models with Features, 60, 50.0
Models with Features, 80, 58.0
Models with Features, 100, 69.0
Models with Features, 140, 95.0
Models with Features, 160, 103.0
Models with Features, 180, 139.0
Models with Features, 250, 279.0
Models with Features, 300, 469.0
Models with Features, 350, 423.0
Models with Features, 400, 478.0
Model Ancestry, 1, 25.0
Model Ancestry, 5, 27.0
Model Ancestry, 10, 27.0
Model Ancestry, 20, 27.0
Model Ancestry, 40, 25.0
Model Ancestry, 60, 27.0
Model Ancestry, 80, 28.0
Model Ancestry, 100, 33.0
Model Ancestry, 140, 28.0
Model Ancestry, 160, 26.0
Model Ancestry, 180, 28.0
Model Ancestry, 250, 27.0
Model Ancestry, 300, 31.0
Model Ancestry, 350, 37.0
Model Ancestry, 400, 39.0
Common Ancestor, 1, 23.0
Common Ancestor, 5, 25.0
Common Ancestor, 10, 25.0
Common Ancestor, 20, 23.0
Common Ancestor, 40, 23.0
Common Ancestor, 60, 22.0
Common Ancestor, 80, 23.0
Common Ancestor, 100, 33.0
Common Ancestor, 140, 25.0
Common Ancestor, 160, 22.0
Common Ancestor, 180, 22.0
Common Ancestor, 250, 20.0
Common Ancestor, 300, 21.0
Common Ancestor, 350, 24.0
Common Ancestor, 400, 33.0
Importances, 1, 11.0
Importances, 5, 12.0
Importances, 10, 13.0
Importances, 20, 16.0
Importances, 40, 19.0
Importances, 60, 27.0
Importances, 80, 29.0
Importances, 100, 37.0
Importances, 140, 43.0
Importances, 160, 47.0
Importances, 180, 53.0
Importances, 250, 77.0
Importances, 300, 87.0
Importances, 350, 95.0
Importances, 400, 114.0
Rank Models, 1, 1.0
Rank Models, 5, 2.0
Rank Models, 10, 2.0
Rank Models, 20, 1.0
Rank Models, 40, 2.0
Rank Models, 60, 1.0
Rank Models, 80, 1.0
Rank Models, 100, 1.0
Rank Models, 140, 2.0
Rank Models, 160, 2.0
Rank Models, 180, 1.0
Rank Models, 250, 1.0
Rank Models, 300, 2.0
Rank Models, 350, 2.0
Rank Models, 400, 2.0
